title|url|brief|tags|ft_v|sc_v|th_v|doc|len_doc|ST|ET|yg|addr|label
为了舌尖上的安全！10元众筹鲜嫩玉米！|http://www.zhongchou.com/deal-show/id-344125|我们把抽雄后最佳采摘期22至25天的有机鲜嫩玉米送给您品尝！拒食街头出售添加玉米香精的玉米！|安徽#宿州#果蔬种植#新鲜玉米#订制#有机无公害|20313|494|102|2016-03-2810:00:01--感谢大家的支持，项目已成功结束。共完成20313元的筹资额，达成预定目标的102%，获得494人支持。我们会尽快实施项目，期待大家的后续关注。#2016-03-2711:53:26-砀山梨膏-项目即将成功介绍，二期众筹鲜玉米项目马上上线！敬请期待！#2016-03-2414:00:01--截止2016-03-2414时，筹款超过100%，共20051元，获得478人次支持。感谢大家的支持，期待你们的继续关注。#2016-03-2412:00:01--2016-03-2412时，马上就要成功啦~快快来支持吧！#2016-03-2113:00:01--截止2016-03-2113时，梦想从未中断，我们需要你的更多助力~#2016-03-2113:00:01--2016-03-2113时，筹资已经超过50%了，离成功越来越近啦~#2016-02-1819:00:01--截止2016-02-1819时，累计已有100人支持，谢谢大家的支持，我们会继续努力#2016-02-1800:54:37-砀山梨膏-项目登录众筹网第一天就上了热门推荐！谢谢大家的支持！#2016-02-1721:00:01--截止2016-02-1721时，累计已有50人支持，谢谢大家的支持，我们会继续努力#2016-02-1716:12:53-砀山梨膏-谢谢大家支持！新鲜嫩玉米，非冷藏！良心价格！#2016-02-1710:00:02--感谢润蒂农业公司支持了￥10~#2016-02-1710:00:02--新项目“为了舌尖上的安全！10元众筹鲜嫩玉米！”上线了。我们的项目必须在2016年03月28日之前，筹集到20000才可成功，希望您能给予支持，持续关注我们的项目#我们坚持高标准种植模式#我们坚持高标准种植模式！聘请农业专家指导，80后年轻生产力执行！保证种植的鲜玉米从选种到分阶段种植，直至收获都比市场上的鲜玉米好！######严把采收期#根据玉米生长周期，严格根据最佳采收期采摘！给您提供口感最好的鲜嫩玉米##鲜玉米的好处#鲜嫩玉米的好处非常之多######鲜玉米的食用#鲜玉米食用方法简单而且多种多样，我们可根据喜好加工食用。#########资金用途和发货承诺#众筹的资金基本用来购买玉米和豆种，种植，有机施肥，管理，收获，真空包装，发货的快递费。并且积极带动周边农户参与分阶段种植项目，提高鲜玉米和鲜毛豆品质！通过网上销售达到收入提高！#发货的速度和品质追求达到最高！让用户吃到最鲜美可口的新鲜农作物！##我们的鲜玉米比菜市场和超市价格低#由于省去了很多中间环节，所以我们的鲜玉米和鲜毛豆要比市场上的价格低很多很多！超市鲜玉米价格每根基本要在3元左右！鲜毛豆每斤十几元！而我们的鲜玉米和鲜毛豆价格就最具备性价比了！####基本问题解答：#一、发货问题##为保证新鲜，我们将当天采摘的鲜货真空包装，当天快递给亲##二、众筹完成后回报问题##众筹完成后公司会给每位支持者先邮《订制承诺书》。鲜玉米回报时间约为五月开始。根据采收季节合理安排发货。我们视诚信守诺为生命！##三、收货后破损问题##亲在收到货后如果有破损，请勿签收，及时联系我们，我们给你补发一份。##四、新疆，内蒙古，青海等偏远地区不发货.#¥10-99人-超值回报7斤鲜玉米超值回报7斤鲜玉米，真空包装邮到家！先发《订制承诺书》预计回报发送时间：项目成功结束后7天内#¥10-36人-超值回报新鲜毛豆一斤超值回报新鲜毛豆1斤，真空包装（其他网购价格约每斤约十元起）.先发《订制承诺书》预计回报发送时间：项目成功结束后7天内#¥40-1人-超值回报鲜毛豆6斤支持40元超值回报鲜毛豆6斤（网购价格每斤10元以上）每7天发货一次，发三次.先发《订制承诺书》预计回报发送时间：项目成功结束后7天内#¥40-62人-超值回报鲜玉米38斤支持40元超值回报鲜玉米38斤。真空包装，每7天发货一次，发三次先发《订制承诺书》预计回报发送时间：项目成功结束后7天内#¥18-48人-超值回报鲜玉米7斤，鲜毛豆2斤支持18元超值回报鲜玉米7斤，鲜毛豆2斤。真空包装新鲜发货.先发《订制承诺书》预计回报发送时间：项目成功结束后7天内#¥72-214人-超值回报鲜玉米35斤，鲜毛豆8斤支持72元超值回报鲜玉米35斤，鲜毛豆8斤，真空包装。每7天发货一次，发三次。先发《订制承诺书》预计回报发送时间：项目成功结束后7天内|1850|2016-02-17 09:42:10|2016-03-27 23:58:25|农业|安徽#宿州|果蔬种植#新鲜玉米#订制#有机无公害
杂粮出身，掀起主食革命！|http://www.zhongchou.com/deal-show/id-471625|山东煎饼，百年积淀，深得地方百姓拥戴，如今主食精粮当道正义煎饼队长揭竿而起，决定为杂粮之崛起，百姓之健康，扛起振兴山东杂粮煎饼的大旗！|山东#泰安#健康#杂粮#煎饼|82530|491|104|2016-10-0118:55:43-正义煎饼队长-感谢大家的支持！回报均已发出！#创业故事，请见下方#¥1-#110人-支持1元+1次中奖机会众筹成功结束后，每满50人，由众筹网官方抽出1名幸运用户获得，获得正义0号煎饼任意款X3包(不满50人，按50人。抽取多次支持只得1个抽奖号。)已发放抽奖号：21个预计奖品发送时间：开奖后立即发送#¥39-28人／限999人-奔赴正义之约支持39元，您将获得：正义0号煎饼乌金版X3包＋赤金版X3包预计回报发送时间：项目成功结束后立即发货#¥99-243人／限999人-属于你的正义霸王餐支持99元，您将获得：A：正义0号煎饼乌金版X6包＋赤金版X6包B：正义煎饼队长霸王餐卡X1张预计回报发送时间：项目成功结束后立即发货#¥199-39人／限500人-正义加身正我随行支持199元，您将获得：A：正义0号煎饼乌金版X8包＋赤金版X8包B：“正我”定制限量版修身高织莱卡棉T恤X1件预计回报发送时间：项目成功结束后立即发货#¥499-36人／限300人-属于你的正义勋章支持499元，您将获得：A：正义0号煎饼乌金版X15包＋赤金版X15包B：“正我”定制限量版修身高织莱卡棉T恤X1件C：正义煎饼队长铜色徽章X1枚预计回报发送时间：项目成功结束后立即发货#¥806-19人／限100人-正义的承诺支持806元，您将获得：A：正义0号煎饼乌金版X25包＋赤金版X25包B：“正我”定制限量版修身高织莱卡棉T恤X1件C：正义煎饼队长银色徽章X1枚预计回报发送时间：项目成功结束后立即发货#¥2,014-8人／限10人-燃烧吧！正义梦想！支持2014元，您将获得：A：正义0号煎饼乌金版X30包＋赤金版X30包B：“正我”定制限量版修身高织莱卡棉T恤X1件C：正义煎饼队长金色徽章X1枚D：2016年中国网球公开赛决赛门票X2张E：受邀参演正义煎饼队长自制网络剧预计回报发送时间：项目成功结束后立即发货|821|2016-08-22 11:19:27|2016-09-18 18:11:23|农业|山东#泰安|健康#杂粮#煎饼
为酒成魔：惟饮者，1000万只为一款酒|http://www.zhongchou.com/deal-show/id-287446|惟饮者前期投入1000万，继承古法天锅工艺，打造亿年溶洞环境，邀请酒魔陈立新担任酿酒调酒总指挥，组建千人品鉴活动等，突破一切妨碍，用尽全力只为极致口感|北京#茶酒饮品#白酒#惟饮者#酒魔|207340|484|104|2015-12-3114:00:01--感谢大家的支持，项目已成功结束。共完成207340元的筹资额，达成预定目标的104%，获得484人支持。我们会尽快实施项目，期待大家的后续关注。#2015-12-2410:00:01--截止2015-12-2410时，筹款超过100%，共203036元，获得430人次支持。感谢大家的支持，期待你们的继续关注。#2015-12-2409:26:25-惟饮者-惟饮者不负众望，成功到达100%~~#2015-12-2312:00:01--2015-12-2312时，马上就要成功啦~快快来支持吧！#2015-12-2115:00:02--截止2015-12-2115时，梦想从未中断，我们需要你的更多助力~#2015-12-1113:00:01--2015-12-1113时，筹资已经超过50%了，离成功越来越近啦~#2015-12-0911:00:01--截止2015-12-0911时，累计已有100人支持，谢谢大家的支持，我们会继续努力#2015-12-0314:00:01--截止2015-12-0314时，累计已有50人支持，谢谢大家的支持，我们会继续努力#2015-12-0116:00:01--感谢netexist支持了￥1~#2015-12-0114:00:01--新项目“为酒成魔：惟饮者，1000万只为一款酒”上线了。我们的项目必须在2015年12月31日之前，筹集到200000才可成功，希望您能给予支持，持续关注我们的项目#资金用途#我们承诺：#为了能让更多人品尝美酒，通过众筹来获得您的认同与支持，我们满怀感恩之心，认真对待每一款产品，并承诺所有众筹资金将用于产品量产、产品完善及后期套装开发之上，为广大用户提供良好的服务。#¥1-#69人／限999人-支持1元+1次中奖机会众筹成功结束后，每满100人，由众筹网官方抽出1名幸运用户获得惟饮者浓香42°一瓶，包邮(不满100人，按100人抽取。)已发放抽奖号：69个预计奖品发送时间：开奖后30天内#¥99-319人-可获得总价值150元+回报：1、惟饮者浓香42°X1瓶；2、官网优惠券总计50元（20元2张、10元1张）；3、瓶身姓名定制权(1个瓶身姓名定制权；一瓶限一个姓名)；4、惊喜小礼品一份（数量有限,赠完为止）；5、精美书签2张（书签含编码，可参与惟饮者官网抽奖，永久有效）；预计回报发送时间：项目成功结束后30天内#¥598-51人／限500人-可获得总价值1000元+回报：1、惟饮者浓香42°X6瓶；2、官网优惠券总计300元（100元1张、50元2张、20元5张）；3、价值299元明月颂酒具套装1套（收藏版）；4、瓶身姓名定制权（享受三个瓶身姓名权，可单瓶发货）；5、精美书签4张（书签含编码，可参与惟饮者官网抽奖，永久有效）预计回报发送时间：项目成功结束后30天内#¥1,980-25人／限200人-可获得总价值3500元+回报：1、惟饮者浓香42°X20瓶；2、官网优惠券总计1000元（200元1张、100元3张、50元10张）；3、价值159元君子赋和价值299元明月颂酒具各一套（收藏版）；4、前20名可以参加吾玖CEO胡啸寒创业交流趴；5、全套私人定制（见备注）；6、精美书签一套（书签含编码，可参与惟饮者官网抽奖，永久有效）；预计回报发送时间：项目成功结束后30天内#¥5,000-11人／限50人-可获得总价值7800元+回报：1、惟饮者浓香42°X50瓶；2、官网优惠券总计2000元（200元2张、100元6张、50元20张）；3、价值159元君子赋和价值299元明月颂酒具各2套（收藏版）；4、托管+全套私人定制（见备注）；5、前10名可以参加国内著名品牌咨询专家杨光老师品牌交流午餐会；6、精美书签三套（书签含编码，可参与惟饮者官网抽奖，永久有效）；预计回报发送时间：项目成功结束后30天内#¥9,900-4人／限30人-可获得总价值12000元+回报：1、惟饮者浓香42°X100瓶；2、价值159元君子赋和价值299元明月颂酒具各5套（收藏版）；3、享受溶洞藏酒权，随用随取（如需亲自到洞取酒，差旅费自理）；4、托管+全套私人定制（见备注）；5、首位支持者可获得一次与国内著名品牌咨询专家杨光老师的一对一品牌战略咨询机会（仅限创始人）；6、精美书签六套（书签含编码，可参与惟饮者官网抽奖，永久有效）；预计回报发送时间：项目成功结束后45天内#¥23,800-0人／限10人-可获得总价值30000元+回报：1、惟饮者浓香42°40箱×6，共计240瓶；2、价值159元君子赋和价值299元明月颂酒具各10套（收藏版）；3、享受溶洞藏酒权，随用随取（如需亲自到洞取酒，差旅费自理）；4、托管+全套私人定制（见备注）；5、酒魔（陈立新）亲自坐而论道；观看酒魔调酒（差旅费自理）；6、首位支持者可参加启赋资本投资宴席（仅限创始人）；7、精美书签N套（书签含编码，可参与惟饮者官网抽奖，永久有效）；预计回报发送时间：项目成功结束后45天内|2099|2015-12-01 15:33:14|2015-12-31 12:27:35|农业|北京|茶酒饮品#白酒#惟饮者#酒魔
世界再大，也要回家。带上小鲜肉原酿鲜酒，和儿时的玩伴见见面吧|http://www.zhongchou.com/deal-show/id-317926|浙江省酒协副秘书长艾庭，历时一年、重现传统古方，找到了生活的真谛和传统的味道。我们更希望用这个系列酒，能唤回更多朋友的纯真年代。|浙江#杭州#茶酒饮品#回家#怀旧#纯酿|120731|484|121|2016-01-0910:00:02--感谢大家的支持，项目已成功结束。共完成120731元的筹资额，达成预定目标的121%，获得484人支持。我们会尽快实施项目，期待大家的后续关注。#2015-12-2718:00:01--截止2015-12-2718时，筹款超过100%，共100135元，获得328人次支持。感谢大家的支持，期待你们的继续关注。#2015-12-2715:00:01--截止2015-12-2715时，梦想从未中断，我们需要你的更多助力~#2015-12-2715:00:01--2015-12-2715时，马上就要成功啦~快快来支持吧！#2015-12-2521:00:02--2015-12-2521时，筹资已经超过50%了，离成功越来越近啦~#2015-12-2411:40:37-用户pfaA4709-感谢朋友们对小鲜肉鲜酒的支持#2015-12-2406:00:01--截止2015-12-2406时，累计已有100人支持，谢谢大家的支持，我们会继续努力#2015-12-2309:00:01--截止2015-12-2309时，累计已有50人支持，谢谢大家的支持，我们会继续努力#2015-12-2211:00:01--感谢用户U93I8699支持了￥66~#2015-12-2210:00:01--新项目“世界再大，也要回家。带上小鲜肉原酿鲜酒，和儿时的玩伴见见面吧”上线了。我们的项目必须在2016年01月09日之前，筹集到100000才可成功，希望您能给予支持，持续关注我们的项目##¥66-409人／限666人-小鲜肉鲜酒回家定制版一套（每套六瓶）（价值180元）小鲜肉鲜酒定制套装一套六瓶。（请及时将您定制的内容告诉我们，我们为您印制上您专属的文字；也可以您自己亲自手写）一起小酌，一起回忆，一起重温一种小时候的味道。预计回报发送时间：项目成功结束后立即发货#¥99-21人-小鲜肉鲜酒回家定制版一套（每套六瓶）（价值180元）小鲜肉鲜酒定制套装一套六瓶。一起疯，一起闹，一起回忆家乡的点点滴滴。预计回报发送时间：项目成功结束后立即发货#¥666-36人-小鲜肉鲜酒回家定制版10套（每套六瓶）（价值1800元）1，小鲜肉鲜酒定制套装10套。2，春节聚会定制相册1套（每套20张，精美印制，永恒记忆；在春节聚会后兑现此项支持）。预计回报发送时间：项目成功结束后立即发货#¥6,666-10人-小鲜肉鲜酒回家定制版120套（每套六瓶）（价值21600元）1，小鲜肉鲜酒定制套装120套。2，春节聚会定制相册10套（每套24张，精美印刷，永恒记忆；在春节聚会后兑现此项支持）预计回报发送时间：项目成功结束后立即发货#¥66,666-0人-小鲜肉鲜酒回家定制版1389套（每套六瓶）（价值250000元）小鲜肉鲜酒定制套装1389套。预计回报发送时间：项目成功结束后立即发货|1205|2015-12-22 10:08:33|2016-01-08 22:09:44|农业|浙江#杭州|茶酒饮品#回家#怀旧#纯酿
【祁雅】祁门红茶，十大茗茶之一，来自安徽祁县原产地的味道！|http://www.zhongchou.com/deal-show/id-237211|新茶上市，祁雅茶业邀您品尝来自原产地的祁门红茶！|安徽#黄山#茶酒饮品#生态养殖#祁门红茶#喝茶#就是喝健康|14451|482|145|2016-01-2417:00:01--感谢大家的支持，项目已成功结束。共完成14451元的筹资额，达成预定目标的145%，获得482人支持。我们会尽快实施项目，期待大家的后续关注。#2015-12-3013:00:01--截止2015-12-3013时，筹款超过100%，共10037元，获得408人次支持。感谢大家的支持，期待你们的继续关注。#2015-12-2911:00:01--截止2015-12-2911时，梦想从未中断，我们需要你的更多助力~#2015-12-2911:00:01--2015-12-2911时，马上就要成功啦~快快来支持吧！#2015-12-2811:00:01--截止2015-12-2811时，累计已有100人支持，谢谢大家的支持，我们会继续努力#2015-12-2811:00:01--2015-12-2811时，筹资已经超过50%了，离成功越来越近啦~#2015-12-2518:00:01--感谢Aiaimoly支持了￥39~#2015-12-2517:00:01--新项目“【祁雅】祁门红茶，十大茗茶之一，来自安徽祁县原产地的味道！”上线了。我们的项目必须在2016年01月24日之前，筹集到10000才可成功，希望您能给予支持，持续关注我们的项目##¥1-#221人／限999人-支持1元+1次中奖机会众筹成功结束后，每满40人，由众筹网官方抽出1名幸运用户获得祁门红茶1罐（总200g）(不满40人，按40人抽取。)已发放抽奖号：221个预计奖品发送时间：开奖后7天内#¥39-239人／限900人-【祁雅茶业】邀请您品饮祁门红茶！回馈您祁门红茶1罐（总200g）预计回报发送时间：项目成功结束后7天内#¥188-16人／限500人-【祁雅茶业】邀请您品饮祁门红茶！回馈您祁门红茶5罐（总1000g）预计回报发送时间：项目成功结束后7天内#¥380-5人／限500人-【祁雅茶业】邀请您品饮祁门红茶！回馈您祁门红茶10罐（总2kg）预计回报发送时间：项目成功结束后7天内#¥3,780-0人／限100人-【祁雅茶业】邀请您品饮祁门红茶！回馈您祁门红茶100罐（总20kg）预计回报发送时间：项目成功结束后7天内|929|2015-12-25 17:02:03|2016-01-24 15:11:50|农业|安徽#黄山|茶酒饮品#生态养殖#祁门红茶#喝茶#就是喝健康
自然之珍，水果之王——枇杷众筹第二季|http://www.zhongchou.com/deal-show/id-320863|让城市的你也享用到自然的馈赠，让果农种出更好的美味！|云南#红河#果蔬种植#枇杷#水果之王#蒙自枇杷|1107|469|111|2016-02-1611:00:01--感谢大家的支持，项目已成功结束。共完成1107元的筹资额，达成预定目标的111%，获得469人支持。我们会尽快实施项目，期待大家的后续关注。#2016-02-1414:00:02--截止2016-02-1414时，筹款超过100%，共1019元，获得468人次支持。感谢大家的支持，期待你们的继续关注。#2016-02-1318:00:02--2016-02-1318时，马上就要成功啦~快快来支持吧！#2016-02-0912:00:01--截止2016-02-0912时，梦想从未中断，我们需要你的更多助力~#2016-02-0912:00:01--2016-02-0912时，筹资已经超过50%了，离成功越来越近啦~#2015-12-2813:00:01--截止2015-12-2813时，累计已有100人支持，谢谢大家的支持，我们会继续努力#2015-12-2813:00:01--感谢蛋蛋二号支持了￥1~#2015-12-2811:00:01--新项目“自然之珍，水果之王——枇杷众筹第二季”上线了。我们的项目必须在2016年02月16日之前，筹集到1000才可成功，希望您能给予支持，持续关注我们的项目##¥1-#459人-支持1元+1次中奖机会众筹成功结束后，由众筹网官方抽出1名幸运用户获得1斤新鲜蒙自枇杷已发放抽奖号：459个预计奖品发送时间：开奖后10天内#¥30-5人-回馈1斤新鲜蒙自枇杷回馈1斤新鲜蒙自枇杷预计回报发送时间：项目成功结束后10天内#¥88-4人-回馈3斤新鲜蒙自枇杷回馈3斤新鲜蒙自枇杷预计回报发送时间：项目成功结束后10天内#¥146-1人-回馈5斤新鲜蒙自枇杷回馈5斤新鲜蒙自枇杷预计回报发送时间：项目成功结束后10天内|753|2015-12-28 12:07:22|2016-02-14 22:20:42|农业|云南#红河|果蔬种植#枇杷#水果之王#蒙自枇杷
水晶葫芦酒（限量贺岁版）：一款市面上买不到的好酒|http://www.zhongchou.com/deal-show/id-310006|“简单纯粹”的水晶葫芦酒，在白酒文化的传承、探索的道路上刚刚起步。经历过首期众筹的我们，倍加珍惜您的信任。水晶葫芦，一生福禄。|山东#济南#茶酒饮品#水晶葫芦酒#好酒#景芝|223551|450|226|2015-12-3010:00:01--感谢大家的支持，项目已成功结束。共完成223551元的筹资额，达成预定目标的226%，获得450人支持。我们会尽快实施项目，期待大家的后续关注。#2015-12-2418:00:02--截止2015-12-2418时，梦想从未中断，我们需要你的更多助力~#2015-12-1717:00:01--截止2015-12-1717时，筹款超过100%，共99630元，获得212人次支持。感谢大家的支持，期待你们的继续关注。#2015-12-1623:00:01--2015-12-1623时，马上就要成功啦~快快来支持吧！#2015-12-1522:18:11-欧阳千里-大家有啥不明白的，可以给我打电话15588865343，这也是我微信。#2015-12-1522:00:01--截止2015-12-1522时，累计已有100人支持，谢谢大家的支持，我们会继续努力#2015-12-1522:00:01--2015-12-1522时，筹资已经超过50%了，离成功越来越近啦~#2015-12-1514:00:01--截止2015-12-1514时，累计已有50人支持，谢谢大家的支持，我们会继续努力#2015-12-1512:35:03-欧阳千里-我们的客服会在最短的时间内联系您，定制会是多彩多样，而非仅仅几个模版。#2015-12-1511:00:02--感谢用户IYZF5397支持了￥399~#2015-12-1510:00:01--新项目“水晶葫芦酒（限量贺岁版）：一款市面上买不到的好酒”上线了。我们的项目必须在2015年12月30日之前，筹集到99000才可成功，希望您能给予支持，持续关注我们的项目##¥69-130人-感谢您的支持！感谢您的支持！您将获得500ml*1瓶市面上买不到的38度限量贺岁版水晶葫芦酒。预计回报发送时间：项目成功结束后立即发货#¥89-107人-感谢您的支持！感谢您的支持！您将获得500ml*1瓶市面上买不到的52度限量贺岁版水晶葫芦酒。预计回报发送时间：项目成功结束后立即发货#¥399-76人-感谢您的支持！感谢您的支持！您将获得500ml*6瓶（1箱）市面上买不到的38度限量贺岁版水晶葫芦酒。可定制，字数建议为4字以内的人名或其他，定制请备注（例：印章版XXX或文字版XXX）。预计回报发送时间：项目成功结束后立即发货#¥512-78人-感谢您的支持！感谢您的支持！您将获得500ml*6瓶（1箱）市面上买不到的52度限量贺岁版水晶葫芦酒。可定制，字数建议为4字以内的人名或其他，定制请备注（例：印章版XXX或文字版XXX）。预计回报发送时间：项目成功结束后立即发货#¥1,990-14人-感谢您的支持！感谢您的支持！您将获得500ml*30瓶（5箱）市面上买不到的38度限量贺岁版水晶葫芦酒。个人定制请备注（印章版XXX或文字版XXX），企业定制请备注（企业版，会有客服联系您）。预计回报发送时间：项目成功结束后立即发货#¥2,560-17人-感谢您的支持！感谢您的支持！您将获得500ml*30瓶（5箱）市面上买不到的52度限量贺岁版水晶葫芦酒。个人定制请备注（印章版XXX或文字版XXX），企业定制请备注（企业版，会有客服联系您）。预计回报发送时间：项目成功结束后立即发货#¥10,000-6人-感谢您的支持！感谢您的支持！您将获得66瓶38度＋66瓶52度市面上买不到的限量贺岁版水晶葫芦酒。个人定制请备注（印章版XXX或文字版XXX),企业定制请备注（企业版，会有客服联系您）。并优先获得所在城市合作权。预计回报发送时间：项目成功结束后立即发货|1524|2015-12-15 10:04:24|2015-12-30 09:28:53|农业|山东#济南|茶酒饮品#水晶葫芦酒#好酒#景芝
水晶葫芦酒：一款市面上买不到的好酒|http://www.zhongchou.com/deal-show/id-184270|景芝作为山东的龙头酒企，在营销模式上不断创新，此次拿出量产的“内部品鉴酒”与我们深度合作，共同推出——“水晶葫芦酒”。|山东#济南#景芝#首款#互联网白酒#水晶葫芦#只装好酒|216418|439|219|2015-09-2110:00:01--感谢大家的支持，项目已成功结束。共完成216418元的筹资额，达成预定目标的219%，获得439人支持。我们会尽快实施项目，期待大家的后续关注。#2015-09-2110:00:01--截止2015-09-2110时，筹款超过100%，共216418元，获得439人次支持。感谢大家的支持，期待你们的继续关注。#2015-09-0717:00:01--截止2015-09-0717时，筹款超过100%，共99018元，获得179人次支持。感谢大家的支持，期待你们的继续关注。#2015-09-0716:05:12-欧阳千里-水晶葫芦，只装好酒；水晶葫芦，一生福禄。如果大家备注没有备注清楚的，可以加我微信850061083，单独沟通，希望能和大家成为好朋友。#2015-09-0610:00:01--新项目“水晶葫芦酒：一款市面上买不到的好酒”上线了。我们的项目必须在2015年09月21日之前，筹集到99000才可成功，希望您能给予支持，持续关注我们的项目##¥69-106人-感谢您的支持！您将获得500ml*1瓶市面上买不到的38度水晶葫芦酒。预计回报发送时间：项目成功结束后立即发货#¥89-147人-感谢您的支持！您将获得500ml*1瓶市面上买不到的52度水晶葫芦酒。预计回报发送时间：项目成功结束后立即发货#¥399-61人-感谢您的支持！您将获得500ml*6瓶（1箱）市面上买不到的38度水晶葫芦酒。可定制，字数建议为4字以内的人名或其他，定制请备注（例：印章版XXX或文字版XXX）。预计回报发送时间：项目成功结束后立即发货#¥512-71人-感谢您的支持！您将获得500ml*6瓶（1箱）市面上买不到的52度水晶葫芦酒。可定制，字数建议为4字以内的人名或其他，定制请备注（例：印章版XXX或文字版XXX）。预计回报发送时间：项目成功结束后立即发货#¥1,990-12人-感谢您的支持！您将获得500ml*30瓶（5箱）市面上买不到的38度水晶葫芦酒。个人定制请备注（印章版XXX或文字版XXX），企业定制请备注（企业版，会有客服联系您）预计回报发送时间：项目成功结束后立即发货#¥2,560-23人-感谢您的支持！您将获得500ml*30瓶（5箱）市面上买不到的52度水晶葫芦酒。个人定制请备注（印章版XXX或文字版XXX），企业定制请备注（企业版，会有客服联系您）预计回报发送时间：项目成功结束后立即发货#¥10,000-5人-感谢您的支持！您将获得66瓶38度＋66瓶52度市面上买不到的水晶葫芦酒。个人定制请备注（印章版XXX或文字版XXX),企业定制请备注（企业版，会有客服联系您）。并优先获得所在城市合作权。预计回报发送时间：项目成功结束后立即发货|1160|2015-09-06 09:07:40|2015-09-21 00:22:51|农业|山东#济南|景芝#首款#互联网白酒#水晶葫芦#只装好酒
“巨刚众酒”第贰季：中国最好的手工酿制陈年绍兴黄酒|http://www.zhongchou.com/deal-show/id-122782|2014年11月24日在众筹网发起“巨刚众酒”第一季，24小时内完成众筹目标。喝过众酒的朋友们都鼓励我尽快发起第二季众酒，让更多朋友分享黄酒之美。|北京#茶酒饮品|343154|435|347|2015-05-0418:00:01--感谢大家的支持，项目已成功结束。共完成343154元的筹资额，达成预定目标的347%，获得435人支持。我们会尽快实施项目，期待大家的后续关注。#2015-05-0418:00:01--截止2015-05-0418时，筹款超过100%，共343154元，获得435人次支持。感谢大家的支持，期待你们的继续关注。#2015-04-1812:00:01--由巨刚众酒发起的项目““巨刚众酒”第贰季：中国最好的手工酿制陈年绍兴黄酒”上线了。我们的项目必须在2015年06月02日之前，筹集到99000才可成功，希望您能给予支持，持续关注我们的项目##¥99-212人-得到了一瓶好喝还好看的老酒。预计回报发送时间：项目成功结束后立即发货#¥594-157人-A.纯手工酿制陈年绍兴黄酒1箱（6瓶）；B.为您订制个性化封酒签；C.免费快递到您府上。预计回报发送时间：项目成功结束后立即发货#¥2,970-49人-A.纯手工酿制陈年绍兴黄酒5箱（30瓶）；B.为您和您的朋友们订制个性化封酒签（每6瓶为一组起订）；C.免费快递到您府上。预计回报发送时间：项目成功结束后立即发货#¥11,880-7人-A.纯手工酿制陈年绍兴黄酒20箱（120瓶）；B.为您和您的朋友们订制个性化封酒签（每6瓶为一组起订）；C.订制物流，我们根据需求将酒送至您或您朋友的府上。备注：订制物流不包括新疆、西藏、港澳台地区预计回报发送时间：项目成功结束后立即发货|634|2015-04-18 12:06:53|2015-05-04 01:28:53|农业|北京|茶酒饮品
众筹一把烟台大樱桃|http://www.zhongchou.com/deal-show/id-390727|将大自然的馈赠带给大家！|山东#烟台#果蔬种植#生物科技#樱桃#大樱桃#红樱桃|2095|429|210|2016-05-2110:00:01--感谢大家的支持，项目已成功结束。共完成2095元的筹资额，达成预定目标的210%，获得429人支持。我们会尽快实施项目，期待大家的后续关注。#2016-04-2513:00:01--截止2016-04-2513时，筹款超过100%，共1096元，获得410人次支持。感谢大家的支持，期待你们的继续关注。#2016-04-2421:00:02--2016-04-2421时，马上就要成功啦~快快来支持吧！#2016-04-0919:00:01--截止2016-04-0919时，梦想从未中断，我们需要你的更多助力~#2016-04-0919:00:01--2016-04-0919时，筹资已经超过50%了，离成功越来越近啦~#2016-04-0201:00:02--截止2016-04-0201时，累计已有100人支持，谢谢大家的支持，我们会继续努力#2016-04-0122:00:01--截止2016-04-0122时，累计已有50人支持，谢谢大家的支持，我们会继续努力#2016-04-0122:00:01--感谢城0607支持了￥99~#2016-04-0110:00:01--新项目“众筹一把烟台大樱桃”上线了。我们的项目必须在2016年05月21日之前，筹集到1000才可成功，希望您能给予支持，持续关注我们的项目#众筹风险#由于樱桃现在还在树上，可能面临一些极端天气和自然灾害，由于这样的原因造成不能发货的我们全额退款，樱桃在快递途中损坏的，坏多少我们赔多少。#¥1-#412人／限999人-支持1元+1次中奖机会众筹成功结束后，由众筹网官方抽出1名幸运用户获得一斤新鲜大樱桃已发放抽奖号：412个预计奖品发送时间：开奖后10天内#¥99-17人／限999人-三斤新鲜大樱桃三斤新鲜大樱桃预计回报发送时间：项目成功结束后10天内#¥188-0人／限999人-六斤新鲜大樱桃六斤新鲜大樱桃预计回报发送时间：项目成功结束后10天内#¥278-0人／限999人-九斤新鲜大樱桃九斤新鲜大樱桃预计回报发送时间：项目成功结束后10天内|888|2016-04-01 21:50:24|2016-05-20 11:50:34|农业|山东#烟台|果蔬种植#生物科技#樱桃#大樱桃#红樱桃
